generation,avg_cost,best_cost,avg_coverage,best_coverage,avg_distance,best_distance,avg_sites,min_sites,max_sites,best_sites,avg_wait_min,avg_wait_peak_min,avg_wait_normal_min,unstable_sites_count
35,206956756.34873933,22357968.177986186,284.7662751733416,284.7662751733417,1.0870408520283819,0.695501677248191,46.05,6,104,6,2.7804529174189323,,,59
36,219101221.58791873,22357968.177986186,284.7662751733416,284.7662751733417,1.0694689408127551,0.695501677248191,48.25,6,104,6,,,,60
37,202858944.4194077,22357968.177986186,284.7662751733416,284.7662751733417,1.0943424008248968,0.6883744137928374,44.983333333333334,6,104,6,,,,60
38,198346659.55291283,22357968.177986186,284.7662751733416,284.7662751733417,1.099220994279359,0.6883744137928374,44.15,6,104,6,,,,60
39,197508289.17180172,22357968.177986186,284.7662751733416,284.7662751733417,1.0973011062487699,0.6877266860740052,44.166666666666664,6,104,6,,,,60
40,212465040.043083,22357968.177986186,284.7662751733416,284.7662751733417,1.0879098293372367,0.6877266860740052,46.86666666666667,6,104,6,,,,60
41,208563884.3595133,22357968.177986186,284.7662751733416,284.7662751733417,1.0745839099568246,0.6877266860740052,46.31666666666667,6,104,6,,,,60
42,207287716.7277942,22357968.177986186,284.7662751733416,284.7662751733417,1.0851078187776975,0.6877266860740052,46.05,6,112,6,,,,60
43,211664198.7038679,22357968.177986186,284.7662751733416,284.7662751733417,1.0998928643600268,0.6877266860740052,46.6,6,113,6,,,,60
44,216214494.81509432,22357968.177986186,284.7662751733416,284.7662751733417,1.0945197049920377,0.6773394963323895,47.8,6,113,6,,,,60
45,224997381.87045154,22357968.177986186,284.7662751733416,284.7662751733417,1.0601766295270123,0.6773394963323895,49.666666666666664,6,113,6,,,,60
46,213030239.91726908,22357968.177986186,284.7662751733416,284.7662751733417,1.0779061645720776,0.6773394963323895,47.266666666666666,6,113,6,,,,60
47,224541758.6346326,22357968.177986186,284.7662751733416,284.7662751733417,1.0621984929512114,0.6773394963323895,49.71666666666667,6,113,6,,,,60
48,228545711.49312866,22357968.177986186,284.7662751733416,284.7662751733417,1.0461797324745534,0.6773394963323895,50.8,6,113,6,,,,60
49,212716141.1701793,22357968.177986186,284.7662751733416,284.7662751733417,1.0622646981742114,0.6773394963323895,47.6,6,113,6,,,,60
50,197186835.6442069,22357968.177986186,284.7662751733416,284.7662751733417,1.0934708103194788,0.6773394963323895,44.45,6,113,6,,,,60
