site_id,location_name,latitude,longitude,demand_category,coverage_evs,density_per_km2,annual_profit_inr,price_per_kwh_inr,capacity_charging_points,setup_cost_inr,grid_upgrade_cost_inr,total_setup_cost_inr,nearest_grid_id,nearest_grid_name,grid_voltage_kv,grid_available_kw,grid_required_kw,grid_capacity_gap_kw,distance_to_grid_km,grid_capacity_ok,site_type,queue_arrival_rate_per_hour,queue_service_rate_per_charger_per_hour,queue_chargers,queue_station_capacity_K,avg_charging_time_min,avg_wait_time_min,avg_time_in_station_min,queue_Lq,queue_L,queue_P0,queue_P_block,queue_utilization
75,Vrindavan Restaurant,22.7616141153092,75.88635588043566,High,1053.64,13.4153,13215798.92,18.0,6,3793170.900409942,40800.0,3833970.900409942,15,Vijaynagar Substation,11.0,252.0,300.0,-48.0,0.42814443499840066,False,restaurant,8.780293484511386,4.0,6,,15.0,0.10726885311039407,15.107268853110392,0.015697533534270034,2.2107709046621165,0.11106109469239638,0.0,0.36584556185464107
76,hazi samosa center,22.7190137,75.8593867,High,1547.23,19.6999,19435092.1,18.0,4,2706470.6635207413,0.0,2706470.6635207413,27,,11.0,252.0,200.0,52.0,1.8921606791562808,True,restaurant,12.89358412590411,4.0,4,,15.0,11.724131910024493,26.72413191002449,2.5194346847516274,5.742830716227655,0.0261990311284342,0.0,0.8058490078690069
77,Maratha Darbar,22.6582329,75.8846445,High,400.36,5.0975,4984534.6,18.0,4,2957681.7801839574,27200.0,2984881.7801839574,5,,11.0,168.0,200.0,-32.0,0.43397921069944967,False,restaurant,3.3363336224815563,4.0,4,,15.0,0.05239304123450532,15.052393041234506,0.0029133444175790447,0.8369967500379681,0.43400488213747906,0.0,0.20852085140509727
78,Veg Bites Cafe & Restaurant,22.695734301118602,75.83496816638406,High,1987.45,25.305,24981835.11,18.0,6,3723641.4549864917,40800.0,3764441.4549864917,27,,11.0,252.0,300.0,-48.0,2.009852527436004,False,restaurant,16.56206629004842,4.0,6,,15.0,2.583374372623065,17.583374372623062,0.7131002935232575,4.853616866035362,0.014181912275844352,0.0,0.6900860954186842
79,Desi Tadka,22.748825749999998,75.91173710000002,High,1120.08,14.2613,14053011.46,18.0,8,4724853.473539805,125800.0,4850653.473539805,30,,11.0,252.0,400.0,-148.0,0.6647801634476614,False,restaurant,9.33400568623733,4.0,8,,15.0,0.00789948909192084,15.007899489091919,0.0012288979350393147,2.3347303194943714,0.09694006154034145,0.0,0.29168767769491655
80,Satkar Pure Veg,22.6725136,75.8803559,High,825.82,10.5147,10345355.91,18.0,4,2900495.0839756,0.0,2900495.0839756,9,Indore SZ,220.0,54000.0,200.0,53800.0,1.2844570539135922,True,restaurant,6.881851650022437,4.0,4,,15.0,0.7408493608257123,15.740849360825713,0.0849735899369416,1.805436502442551,0.17575268412098904,0.0,0.4301157281264023
84,Pizza Hut,22.7252554,75.8943212,High,1509.26,19.2165,18956684.93,18.0,6,3733291.2991870404,40800.0,3774091.2991870404,17,,11.0,252.0,300.0,-48.0,1.1901654176035308,False,restaurant,12.577177153489286,4.0,6,,15.0,0.6243996340296771,15.624399634029677,0.13088641352941877,3.27518070190174,0.04215415677029798,0.0,0.5240490480620535
85,Kushwah Ji Tiffin Center,22.6724461,75.8754909,High,977.7,12.4484,12258984.58,18.0,6,3794314.0346487584,112200.0,3906514.0346487584,5,,11.0,168.0,300.0,-132.0,1.5656780965315962,False,restaurant,8.147479539681736,4.0,6,,15.0,0.0740105174351214,15.074010517435122,0.0100499862753985,2.0469198711958327,0.13022080222936938,0.0,0.3394783141534057
86,Pizza Hut,22.7004322,75.8680274,High,1528.25,19.4582,19195888.52,18.0,4,2783303.4575179,0.0,2783303.4575179,19,,11.0,252.0,200.0,52.0,2.196967024706027,True,restaurant,12.735380639696698,4.0,4,,15.0,10.828501830387575,25.828501830387573,2.2984182094606362,5.482263369384811,0.028077971734419074,0.0,0.7959612899810437
87,Wayfare,22.7461157,75.8956163,High,1366.88,17.4036,17162658.05,18.0,6,3770799.203689767,0.0,3770799.203689767,13,Satya Sai Substation,132.0,36000.0,300.0,35700.0,0.44374247434433944,True,restaurant,11.39065100693369,4.0,6,,15.0,0.3841537754754383,15.384153775475438,0.07292935982394466,2.920592111557367,0.05727025444797426,0.0,0.47461045862223705
89,Apna Sweets,22.6995369,75.8669063,High,1518.75,19.3374,19076286.73,18.0,4,2784789.200687825,0.0,2784789.200687825,24,,11.0,252.0,200.0,52.0,2.244694346824176,True,restaurant,12.656278896592989,4.0,4,,15.0,10.41402127534639,25.41402127534639,2.1967126282639486,5.360782352412196,0.029042525614803496,0.0,0.7910174310370618
91,ridhi sidhi,22.7566714,75.8874708,High,1110.59,14.1405,13933409.67,18.0,8,4679538.24840648,125800.0,4805338.24840648,31,,11.0,252.0,400.0,-148.0,0.0574143850777642,False,restaurant,9.254903943133623,4.0,8,,15.0,0.0074747488095767995,15.007474748809578,0.0011529680371947613,2.3148789538206005,0.09887717598912206,0.0,0.28921574822292573
92,Mr. Beans,22.7232375,75.896927,High,1471.29,18.7331,18478277.77,18.0,6,3741526.5966495755,40800.0,3782326.5966495755,17,,11.0,252.0,300.0,-48.0,1.2356808448955865,False,restaurant,12.260770181074461,4.0,6,,15.0,0.5508527978638649,15.550852797863865,0.11256465930351188,3.1777572045721274,0.04576549982005573,0.0,0.5108654242114359
93,Sharma Sweets,22.721221,75.8985534,High,1395.35,17.7662,17521463.43,18.0,4,2846791.944028304,0.0,2846791.944028304,17,,11.0,252.0,200.0,52.0,1.2776980535250635,True,restaurant,11.627956236244811,4.0,4,,15.0,6.464802288431993,21.464802288431994,1.2528739680977086,4.159863027158911,0.04326041370345554,0.0,0.7267472647653007
100,Jain Mithai Bhandar(JMB),22.727255,75.8945618,High,1490.28,18.9748,18717481.35,18.0,8,4635636.544009632,125800.0,4761436.544009632,17,,11.0,252.0,400.0,-148.0,1.3833473442766608,False,restaurant,12.418973667281874,4.0,8,,15.0,0.048012251871473864,15.048012251871475,0.009937714861645646,3.1146811316821146,0.04477509894415665,0.0,0.38809292710255855
101,Just Paratha,22.6901939,75.8642944,High,1319.42,16.7993,16564649.09,18.0,4,2816866.5791643476,0.0,2816866.5791643476,24,,11.0,252.0,200.0,52.0,1.379318889526347,True,restaurant,10.99514229141516,4.0,4,,15.0,4.9033430726427065,19.903343072642706,0.898549246455523,3.647334819309313,0.05378390210526667,0.0,0.6871963932134475
102,Neelkanth restaurant,22.7177657,75.8698126,High,1640.08,20.8821,20604997.93,18.0,4,2744064.7015070496,0.0,2744064.7015070496,17,,11.0,252.0,200.0,52.0,1.7633436337584574,True,restaurant,13.667331646848233,4.0,4,,15.0,17.938041322587875,32.93804132258787,4.086085997511276,7.502918909223334,0.01790301011298053,0.0,0.8542082279280145
103,Apna Sweets,22.7257518,75.8920658,High,1547.23,19.6999,19435092.1,18.0,4,2825666.703279331,0.0,2825666.703279331,17,,11.0,252.0,200.0,52.0,1.1075138881899926,True,restaurant,12.89358412590411,4.0,4,,15.0,11.724131910024493,26.72413191002449,2.5194346847516274,5.742830716227655,0.0261990311284342,0.0,0.8058490078690069
