generation,best_cost,avg_cost,worst_cost,best_coverage,avg_coverage,worst_coverage,best_distance,avg_distance,worst_distance,avg_sites,min_sites,max_sites
133,13805939.330364756,107092625.53819689,355844250.9694979,215.77140382528768,189.45740465422787,69.58251954162215,0.7275121967535302,1.1962080250632339,2.501258815888528,24.98,5.0,76.0
134,13805939.330364756,107188432.13948756,355844250.9694979,215.77140382528768,186.53362696855456,69.58251954162215,0.7275121967535302,1.2134997178360662,2.501258815888528,24.98,5.0,76.0
135,13805939.330364756,102926195.8137568,355844250.9694979,215.77140382528768,183.60984928288127,69.58251954162215,0.7275121967535302,1.2271224516008477,2.501258815888528,24.06,5.0,76.0
136,13805939.330364756,97878262.4933453,355844250.9694979,215.77140382528768,183.60984928288127,69.58251954162215,0.7275121967535302,1.2383598018370712,2.501258815888528,23.02,5.0,76.0
137,13805939.330364756,103960136.14981204,355844250.9694979,215.77140382528768,180.68607159720793,69.58251954162215,0.7275121967535302,1.223190771892675,2.501258815888528,24.24,5.0,76.0
138,13805939.330364756,103533779.68469389,355844250.9694979,215.77140382528768,180.68607159720793,69.58251954162215,0.7275121967535302,1.2237422795469148,2.501258815888528,24.16,5.0,76.0
139,13805939.330364756,104356349.49030906,355844250.9694979,215.77140382528768,180.68607159720796,69.58251954162215,0.7275121967535302,1.2201390357033397,2.501258815888528,24.34,5.0,76.0
140,13805939.330364756,105350359.9854849,355844250.9694979,215.77140382528768,180.68607159720793,69.58251954162215,0.7275121967535302,1.2198704204368005,2.501258815888528,24.56,5.0,76.0
141,13805939.330364756,104659336.96625377,355844250.9694979,215.77140382528768,180.68607159720793,69.58251954162215,0.7275121967535302,1.221270278033697,2.501258815888528,24.5,5.0,76.0
142,13805939.330364756,112887693.94627988,355844250.9694979,215.77140382528768,180.68607159720793,69.58251954162215,0.7275121967535302,1.206648210632129,2.501258815888528,26.28,5.0,76.0
143,13805939.330364756,107168411.40132006,355844250.9694979,215.77140382528768,180.68607159720793,69.58251954162215,0.7275121967535302,1.2264160622328009,2.501258815888528,24.98,5.0,76.0
144,13805939.330364756,110999167.09176241,355844250.9694979,215.77140382528768,183.60984928288127,69.58251954162215,0.7275121967535302,1.19655022972368,2.501258815888528,25.86,5.0,76.0
145,13805939.330364756,117436782.53394634,355844250.9694979,215.77140382528768,183.60984928288127,69.58251954162215,0.7275121967535302,1.1871103776500378,2.501258815888528,27.1,5.0,76.0
146,13805939.330364756,116408029.07644157,411859988.79185355,215.77140382528768,180.68607159720793,69.58251954162215,0.7225974879513124,1.2032002151791092,2.501258815888528,26.88,5.0,87.0
147,13805939.330364756,107383732.89458269,411859988.79185355,215.77140382528768,177.7622939115346,69.58251954162215,0.7225974879513124,1.239846359319914,2.501258815888528,25.0,5.0,87.0
148,13805939.330364756,107446221.4403344,411859988.79185355,215.77140382528768,174.83851622586133,69.58251954162215,0.7225974879513124,1.246433159935651,2.501258815888528,24.94,5.0,87.0
149,13805939.330364756,109658748.87262046,398010808.4705215,215.77140382528768,177.7622939115346,69.58251954162215,0.718007805015801,1.2277353884403113,2.501258815888528,25.48,5.0,85.0
